Program "PAW_quantitative_report.py" run on Tue Aug 30 08:10:49 2016

	=SUBTOTAL(109,B5:B6278)														Total	Total	Total	Total	Total	Total	Total	Total	Total	Total	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected
2575	1	sp|P55060|XPO2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/XPO2_HUMAN", "XPO2_HUMAN")		45.8	971	110415	Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3	643	643	1.000	65	70	80	92	116	31	36	20	69	64	65	70	80	92	116	31	36	20	69	64	65.000	70.000	80.000	92.000	116.000	31.000	36.000	20.000	69.000	64.000
2577	1	sp|P55081|MFAP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/MFAP1_HUMAN", "MFAP1_HUMAN")		25.7	439	51958	Microfibrillar-associated protein 1 OS=Homo sapiens GN=MFAP1 PE=1 SV=2	25	25	1.000	1	3	4	2	5	0	1	0	7	2	1	3	4	2	5	0	1	0	7	2	1.000	3.000	4.000	2.000	5.000	0.000	1.000	0.000	7.000	2.000
2578	1	sp|P55084|ECHB_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ECHB_HUMAN", "ECHB_HUMAN")		70.9	474	51294	Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3	809	809	1.000	59	108	95	69	88	68	102	73	71	76	59	108	95	69	88	68	102	73	71	76	59.000	108.000	95.000	69.000	88.000	68.000	102.000	73.000	71.000	76.000
2579	1	sp|P55107|GDF10_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/GDF10_HUMAN", "GDF10_HUMAN")		7.7	478	53121	Growth/differentiation factor 10 OS=Homo sapiens GN=GDF10 PE=2 SV=1	2	2	1.000	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
2580	1	sp|P55145|MANF_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/MANF_HUMAN", "MANF_HUMAN")		61.0	182	20700	Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3	354	354	1.000	35	38	38	28	37	38	34	39	30	37	35	38	38	28	37	38	34	39	30	37	35.000	38.000	38.000	28.000	37.000	38.000	34.000	39.000	30.000	37.000
2581	1	sp|P55160|NCKPL_HUMAN	 	 	sp|P55160|NCKPL_HUMAN, sp|Q9Y2A7|NCKP1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/NCKPL_HUMAN", "NCKPL_HUMAN")		2.6	1127	128152	Nck-associated protein 1-like OS=Homo sapiens GN=NCKAP1L PE=1 SV=3	7	1	0.143	0	1	1	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
2582	1	sp|P55196|AFAD_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/AFAD_HUMAN", "AFAD_HUMAN")		34.2	1824	206802	Afadin OS=Homo sapiens GN=MLLT4 PE=1 SV=3	259	259	1.000	17	41	35	19	28	24	27	21	34	13	17	41	35	19	28	24	27	21	34	13	17.000	41.000	35.000	19.000	28.000	24.000	27.000	21.000	34.000	13.000
2583	1	sp|P55201|BRPF1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/BRPF1_HUMAN", "BRPF1_HUMAN")		2.6	1214	137497	Peregrin OS=Homo sapiens GN=BRPF1 PE=1 SV=2	5	5	1.000	0	0	2	0	0	0	0	3	0	0	0	0	2	0	0	0	0	3	0	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000
2584	1	sp|P55209|NP1L1_HUMAN	 	 	sp|P55209|NP1L1_HUMAN, sp|Q99733|NP1L4_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/NP1L1_HUMAN", "NP1L1_HUMAN")		55.2	391	45374	Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1	1119	990	0.885	105	130	134	133	131	81	99	80	131	95	91	119	121	119	118	64	89	69	119	81	100.652	126.354	131.417	129.413	127.131	74.168	95.794	76.298	128.457	90.372
2585	1	sp|P55210|CASP7_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CASP7_HUMAN", "CASP7_HUMAN")		40.3	303	34276	Caspase-7 OS=Homo sapiens GN=CASP7 PE=1 SV=1	103	103	1.000	5	8	14	3	12	11	13	15	10	12	5	8	14	3	12	11	13	15	10	12	5.000	8.000	14.000	3.000	12.000	11.000	13.000	15.000	10.000	12.000
2586	1	sp|P55212|CASP6_HUMAN	 	 	sp|P42574|CASP3_HUMAN, sp|P55212|CASP6_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/CASP6_HUMAN", "CASP6_HUMAN")		38.2	293	33310	Caspase-6 OS=Homo sapiens GN=CASP6 PE=1 SV=2	84	28	0.333	4	9	9	15	10	5	8	7	12	5	4	1	3	5	4	2	1	2	4	2	4.000	1.889	3.900	7.941	4.857	2.857	1.538	3.111	4.941	2.286
2587	1	sp|P55263|ADK_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ADK_HUMAN", "ADK_HUMAN")		77.3	362	40545	Adenosine kinase OS=Homo sapiens GN=ADK PE=1 SV=2	200	200	1.000	23	22	29	23	38	9	8	10	20	18	23	22	29	23	38	9	8	10	20	18	23.000	22.000	29.000	23.000	38.000	9.000	8.000	10.000	20.000	18.000
2588	1	sp|P55265|DSRAD_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DSRAD_HUMAN", "DSRAD_HUMAN")		42.0	1226	136065	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	354	354	1.000	23	46	36	25	40	27	38	39	47	33	23	46	36	25	40	27	38	39	47	33	23.000	46.000	36.000	25.000	40.000	27.000	38.000	39.000	47.000	33.000
2589	1	sp|P55268|LAMB2_HUMAN	 	 	sp|A4D0S4|LAMB4_HUMAN, sp|P55268|LAMB2_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/LAMB2_HUMAN", "LAMB2_HUMAN")		27.3	1798	195979	Laminin subunit beta-2 OS=Homo sapiens GN=LAMB2 PE=1 SV=2	131	130	0.992	5	10	24	1	5	26	4	32	17	7	5	10	24	1	5	25	4	32	17	7	5.000	10.000	24.000	1.000	5.000	25.926	4.000	32.000	17.000	7.000
2590	1	sp|P55285|CADH6_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CADH6_HUMAN", "CADH6_HUMAN")		20.0	790	88308	Cadherin-6 OS=Homo sapiens GN=CDH6 PE=1 SV=1	51	50	0.980	0	0	0	0	0	12	12	8	15	4	0	0	0	0	0	12	12	8	14	4	0.000	0.000	0.000	0.000	0.000	12.000	12.000	8.000	15.000	4.000
2591	1	sp|P55290|CAD13_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CAD13_HUMAN", "CAD13_HUMAN")		19.2	713	78286	Cadherin-13 OS=Homo sapiens GN=CDH13 PE=1 SV=1	97	97	1.000	12	13	14	15	10	7	10	9	4	3	12	13	14	15	10	7	10	9	4	3	12.000	13.000	14.000	15.000	10.000	7.000	10.000	9.000	4.000	3.000
2592	1	sp|P55327|TPD52_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TPD52_HUMAN", "TPD52_HUMAN")		43.8	224	24327	Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2	21	21	1.000	3	5	7	2	0	2	0	0	1	1	3	5	7	2	0	2	0	0	1	1	3.000	5.000	7.000	2.000	0.000	2.000	0.000	0.000	1.000	1.000
2593	1	sp|P55735|SEC13_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SEC13_HUMAN", "SEC13_HUMAN")		59.0	322	35540	Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=1 SV=3	199	199	1.000	13	17	18	25	26	9	20	14	35	22	13	17	18	25	26	9	20	14	35	22	13.000	17.000	18.000	25.000	26.000	9.000	20.000	14.000	35.000	22.000
2594	1	sp|P55769|NH2L1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NH2L1_HUMAN", "NH2L1_HUMAN")		82.0	128	14173	NHP2-like protein 1 OS=Homo sapiens GN=SNU13 PE=1 SV=3	197	197	1.000	20	28	22	14	14	21	23	22	21	12	20	28	22	14	14	21	23	22	21	12	20.000	28.000	22.000	14.000	14.000	21.000	23.000	22.000	21.000	12.000
2595	1	sp|P55786|PSA_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PSA_HUMAN", "PSA_HUMAN")		60.3	919	103275	Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2	772	772	1.000	53	73	96	84	110	54	58	67	93	84	53	73	96	84	110	54	58	67	93	84	53.000	73.000	96.000	84.000	110.000	54.000	58.000	67.000	93.000	84.000
2596	1	sp|P55789|ALR_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ALR_HUMAN", "ALR_HUMAN")		26.8	205	23449	FAD-linked sulfhydryl oxidase ALR OS=Homo sapiens GN=GFER PE=1 SV=2	30	30	1.000	1	7	3	0	3	2	4	3	5	2	1	7	3	0	3	2	4	3	5	2	1.000	7.000	3.000	0.000	3.000	2.000	4.000	3.000	5.000	2.000
2597	1	sp|P55795|HNRH2_HUMAN	 	 	sp|P31942|HNRH3_HUMAN, sp|P31943|HNRH1_HUMAN, sp|P52597|HNRPF_HUMAN, sp|P55795|HNRH2_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/HNRH2_HUMAN", "HNRH2_HUMAN")		47.0	449	49263	Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1	992	315	0.318	73	108	119	125	119	79	75	77	125	92	24	35	50	35	27	22	25	31	41	25	35.348	58.018	72.757	58.245	54.705	39.004	43.452	48.180	67.670	43.321
2598	1	sp|P55809|SCOT1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SCOT1_HUMAN", "SCOT1_HUMAN")		49.2	520	56157	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens GN=OXCT1 PE=1 SV=1	198	198	1.000	20	29	38	9	20	16	14	31	13	8	20	29	38	9	20	16	14	31	13	8	20.000	29.000	38.000	9.000	20.000	16.000	14.000	31.000	13.000	8.000
2599	1	sp|P55854|SUMO3_HUMAN	 	 	sp|P55854|SUMO3_HUMAN, sp|P61956|SUMO2_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/SUMO3_HUMAN", "SUMO3_HUMAN")		24.3	103	11637	Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=1 SV=2	116	9	0.078	11	18	7	5	11	12	18	13	11	10	2	1	0	0	2	0	2	0	0	2	5.600	6.667	0.000	0.000	5.600	0.000	12.667	0.000	0.000	4.667
2600	1	sp|P55884|EIF3B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/EIF3B_HUMAN", "EIF3B_HUMAN")		71.4	814	92481	Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3	715	715	1.000	62	53	90	81	91	38	52	56	107	85	62	53	90	81	91	38	52	56	107	85	62.000	53.000	90.000	81.000	91.000	38.000	52.000	56.000	107.000	85.000
2601	1	sp|P55899|FCGRN_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/FCGRN_HUMAN", "FCGRN_HUMAN")		12.3	365	39743	IgG receptor FcRn large subunit p51 OS=Homo sapiens GN=FCGRT PE=1 SV=1	4	4	1.000	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	1	0	0	2	0	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	2.000	0.000
2602	1	sp|P55957|BID_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/BID_HUMAN", "BID_HUMAN")		53.3	195	21994	BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1	189	189	1.000	15	21	27	19	24	19	16	15	22	11	15	21	27	19	24	19	16	15	22	11	15.000	21.000	27.000	19.000	24.000	19.000	16.000	15.000	22.000	11.000
2603	1	sp|P56134|ATPK_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ATPK_HUMAN", "ATPK_HUMAN")		25.5	94	10918	ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3	138	138	1.000	9	13	17	21	13	8	12	15	18	12	9	13	17	21	13	8	12	15	18	12	9.000	13.000	17.000	21.000	13.000	8.000	12.000	15.000	18.000	12.000
2604	1	sp|P56182|RRP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RRP1_HUMAN", "RRP1_HUMAN")		22.8	461	52839	Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens GN=RRP1 PE=1 SV=1	42	42	1.000	5	6	6	4	5	4	4	4	2	2	5	6	6	4	5	4	4	4	2	2	5.000	6.000	6.000	4.000	5.000	4.000	4.000	4.000	2.000	2.000
2605	1	sp|P56192|SYMC_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SYMC_HUMAN", "SYMC_HUMAN")		51.6	900	101115	Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2	560	560	1.000	54	66	70	64	55	43	47	49	65	47	54	66	70	64	55	43	47	49	65	47	54.000	66.000	70.000	64.000	55.000	43.000	47.000	49.000	65.000	47.000
2606	1	sp|P56211|ARP19_HUMAN	 	 	sp|O43768|ENSA_HUMAN, sp|P56211|ARP19_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/ARP19_HUMAN", "ARP19_HUMAN")		66.1	112	12323	cAMP-regulated phosphoprotein 19 OS=Homo sapiens GN=ARPP19 PE=1 SV=2	90	20	0.222	4	13	10	7	11	8	6	9	9	13	0	1	2	2	5	1	0	0	4	5	0.000	3.400	3.333	3.250	8.333	2.400	0.000	0.000	5.250	8.333
2607	1	sp|P56377|AP1S2_HUMAN	 	 	sp|P56377|AP1S2_HUMAN, sp|P61966|AP1S1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/AP1S2_HUMAN", "AP1S2_HUMAN")		27.4	157	18615	AP-1 complex subunit sigma-2 OS=Homo sapiens GN=AP1S2 PE=1 SV=1	12	9	0.750	2	1	0	0	3	2	1	1	2	0	1	1	0	0	1	2	1	1	2	0	1.333	1.000	0.000	0.000	1.286	2.000	1.000	1.000	2.000	0.000
2608	1	sp|P56381|ATP5E_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ATP5E_HUMAN", "ATP5E_HUMAN")		45.1	51	5780	ATP synthase subunit epsilon, mitochondrial OS=Homo sapiens GN=ATP5E PE=1 SV=2	54	54	1.000	5	8	4	4	3	10	7	6	3	4	5	8	4	4	3	10	7	6	3	4	5.000	8.000	4.000	4.000	3.000	10.000	7.000	6.000	3.000	4.000
2609	1	sp|P56385|ATP5I_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ATP5I_HUMAN", "ATP5I_HUMAN")		66.7	69	7933	ATP synthase subunit e, mitochondrial OS=Homo sapiens GN=ATP5I PE=1 SV=2	105	105	1.000	6	18	12	3	14	8	11	18	4	11	6	18	12	3	14	8	11	18	4	11	6.000	18.000	12.000	3.000	14.000	8.000	11.000	18.000	4.000	11.000
2610	1	sp|P56524|HDAC4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/HDAC4_HUMAN", "HDAC4_HUMAN")		4.0	1084	119038	Histone deacetylase 4 OS=Homo sapiens GN=HDAC4 PE=1 SV=3	5	5	1.000	0	0	4	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0.000	0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000
2611	1	sp|P56537|IF6_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/IF6_HUMAN", "IF6_HUMAN")		60.0	245	26599	Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1	510	510	1.000	49	77	62	49	30	38	69	48	42	46	49	77	62	49	30	38	69	48	42	46	49.000	77.000	62.000	49.000	30.000	38.000	69.000	48.000	42.000	46.000
2612	1	sp|P56545|CTBP2_HUMAN	 	 	sp|P56545|CTBP2_HUMAN, sp|Q13363|CTBP1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/CTBP2_HUMAN", "CTBP2_HUMAN")		39.3	445	48944	C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1	95	67	0.705	7	9	8	14	13	6	11	3	15	9	5	5	6	13	10	2	6	1	12	7	6.000	6.818	7.000	13.765	11.364	3.600	8.143	1.286	13.895	8.000
2613	1	sp|P56556|NDUA6_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NDUA6_HUMAN", "NDUA6_HUMAN")		47.4	154	17871	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens GN=NDUFA6 PE=1 SV=3	35	35	1.000	2	4	5	4	6	2	2	5	2	3	2	4	5	4	6	2	2	5	2	3	2.000	4.000	5.000	4.000	6.000	2.000	2.000	5.000	2.000	3.000
2614	1	sp|P56589|PEX3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PEX3_HUMAN", "PEX3_HUMAN")		20.6	373	42139	Peroxisomal biogenesis factor 3 OS=Homo sapiens GN=PEX3 PE=1 SV=1	20	20	1.000	3	1	5	0	3	1	2	4	0	1	3	1	5	0	3	1	2	4	0	1	3.000	1.000	5.000	0.000	3.000	1.000	2.000	4.000	0.000	1.000
2615	1	sp|P56945|BCAR1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/BCAR1_HUMAN", "BCAR1_HUMAN")		51.1	870	93371	Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2	275	275	1.000	29	59	33	32	45	12	25	11	19	10	29	59	33	32	45	12	25	11	19	10	29.000	59.000	33.000	32.000	45.000	12.000	25.000	11.000	19.000	10.000
2616	1	sp|P56962|STX17_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/STX17_HUMAN", "STX17_HUMAN")		30.1	302	33403	Syntaxin-17 OS=Homo sapiens GN=STX17 PE=1 SV=2	9	9	1.000	0	0	2	1	1	0	1	2	1	1	0	0	2	1	1	0	1	2	1	1	0.000	0.000	2.000	1.000	1.000	0.000	1.000	2.000	1.000	1.000
2617	1	sp|P57076|CU059_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CU059_HUMAN", "CU059_HUMAN")		44.1	290	33224	UPF0769 protein C21orf59 OS=Homo sapiens GN=C21orf59 PE=1 SV=1	28	28	1.000	2	1	6	2	3	5	1	1	7	0	2	1	6	2	3	5	1	1	7	0	2.000	1.000	6.000	2.000	3.000	5.000	1.000	1.000	7.000	0.000
2618	1	sp|P57081|WDR4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/WDR4_HUMAN", "WDR4_HUMAN")		18.7	412	45489	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 OS=Homo sapiens GN=WDR4 PE=1 SV=2	12	12	1.000	1	1	4	1	2	0	0	1	2	0	1	1	4	1	2	0	0	1	2	0	1.000	1.000	4.000	1.000	2.000	0.000	0.000	1.000	2.000	0.000
2619	1	sp|P57088|TMM33_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TMM33_HUMAN", "TMM33_HUMAN")		30.4	247	27978	Transmembrane protein 33 OS=Homo sapiens GN=TMEM33 PE=1 SV=2	21	21	1.000	0	0	2	1	7	0	0	0	3	8	0	0	2	1	7	0	0	0	3	8	0.000	0.000	2.000	1.000	7.000	0.000	0.000	0.000	3.000	8.000
2620	1	sp|P57105|SYJ2B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SYJ2B_HUMAN", "SYJ2B_HUMAN")		43.4	145	15928	Synaptojanin-2-binding protein OS=Homo sapiens GN=SYNJ2BP PE=1 SV=2	33	33	1.000	5	5	2	2	5	4	3	3	2	2	5	5	2	2	5	4	3	3	2	2	5.000	5.000	2.000	2.000	5.000	4.000	3.000	3.000	2.000	2.000
2621	1	sp|P57678|GEMI4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/GEMI4_HUMAN", "GEMI4_HUMAN")		5.8	1058	120036	Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=2	6	6	1.000	0	0	3	3	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0.000	0.000	3.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000
2622	1	sp|P57721|PCBP3_HUMAN	 	 	sp|P57721|PCBP3_HUMAN, sp|P57723|PCBP4_HUMAN, sp|Q15365|PCBP1_HUMAN, sp|Q15366|PCBP2_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/PCBP3_HUMAN", "PCBP3_HUMAN")		22.9	371	39465	Poly(rC)-binding protein 3 OS=Homo sapiens GN=PCBP3 PE=2 SV=2	629	33	0.052	55	120	67	57	42	52	89	63	51	33	6	3	5	4	4	3	2	2	2	2	6.000	3.000	5.000	4.000	4.000	3.000	2.000	2.000	2.000	2.000
2625	1	sp|P57737|CORO7_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CORO7_HUMAN", "CORO7_HUMAN")		45.6	925	100604	Coronin-7 OS=Homo sapiens GN=CORO7 PE=1 SV=2	289	289	1.000	17	30	46	31	38	25	23	24	36	19	17	30	46	31	38	25	23	24	36	19	17.000	30.000	46.000	31.000	38.000	25.000	23.000	24.000	36.000	19.000
2626	1	sp|P57740|NU107_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NU107_HUMAN", "NU107_HUMAN")		28.6	925	106373	Nuclear pore complex protein Nup107 OS=Homo sapiens GN=NUP107 PE=1 SV=1	56	56	1.000	8	5	10	6	9	3	1	5	5	4	8	5	10	6	9	3	1	5	5	4	8.000	5.000	10.000	6.000	9.000	3.000	1.000	5.000	5.000	4.000
2627	1	sp|P57764|GSDMD_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/GSDMD_HUMAN", "GSDMD_HUMAN")		46.9	484	52800	Gasdermin-D OS=Homo sapiens GN=GSDMD PE=1 SV=1	148	148	1.000	15	15	17	7	15	28	10	20	9	12	15	15	17	7	15	28	10	20	9	12	15.000	15.000	17.000	7.000	15.000	28.000	10.000	20.000	9.000	12.000
2628	1	sp|P57768|SNX16_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SNX16_HUMAN", "SNX16_HUMAN")		8.7	344	39166	Sorting nexin-16 OS=Homo sapiens GN=SNX16 PE=1 SV=2	3	3	1.000	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0.000	1.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000
2629	1	sp|P57772|SELB_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SELB_HUMAN", "SELB_HUMAN")		41.4	596	65304	Selenocysteine-specific elongation factor OS=Homo sapiens GN=EEFSEC PE=1 SV=4	89	89	1.000	7	8	19	9	11	5	6	8	11	5	7	8	19	9	11	5	6	8	11	5	7.000	8.000	19.000	9.000	11.000	5.000	6.000	8.000	11.000	5.000
2630	1	sp|P58004|SESN2_HUMAN	 	 	sp|P58004|SESN2_HUMAN, sp|P58005|SESN3_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/SESN2_HUMAN", "SESN2_HUMAN")		23.8	480	54493	Sestrin-2 OS=Homo sapiens GN=SESN2 PE=1 SV=1	5	4	0.800	0	0	0	1	2	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0.000	0.000	0.000	1.000	1.333	0.000	0.000	1.000	1.000	0.000
2631	1	sp|P58005|SESN3_HUMAN	 	 	sp|P58004|SESN2_HUMAN, sp|P58005|SESN3_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/SESN3_HUMAN", "SESN3_HUMAN")		4.9	492	57290	Sestrin-3 OS=Homo sapiens GN=SESN3 PE=2 SV=2	5	4	0.800	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	1	0	1	0	0.000	0.000	0.000	0.000	2.667	0.000	1.000	0.000	1.000	0.000
2633	1	sp|P58335|ANTR2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ANTR2_HUMAN", "ANTR2_HUMAN")		6.5	489	53666	Anthrax toxin receptor 2 OS=Homo sapiens GN=ANTXR2 PE=1 SV=5	4	4	1.000	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0.000	0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2634	1	sp|P58546|MTPN_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/MTPN_HUMAN", "MTPN_HUMAN")		60.2	118	12895	Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2	279	279	1.000	28	36	23	22	31	34	34	26	25	20	28	36	23	22	31	34	34	26	25	20	28.000	36.000	23.000	22.000	31.000	34.000	34.000	26.000	25.000	20.000
2636	1	sp|P59923|ZN445_HUMAN	 	 	sp|O75346|ZN253_HUMAN, sp|P59923|ZN445_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q8N9Z0|ZN610_HUMAN, sp|Q96LW1|Z354B_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/ZN445_HUMAN", "ZN445_HUMAN")		2.2	1031	118962	Zinc finger protein 445 OS=Homo sapiens GN=ZNF445 PE=1 SV=1	3	1	0.333	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000	0.000	0.000	0.000	1.333	0.000	0.000	0.000	0.000	0.000
2637	1	sp|P59998|ARPC4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ARPC4_HUMAN", "ARPC4_HUMAN")		59.5	168	19667	Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3	280	280	1.000	22	24	45	28	29	18	21	25	41	27	22	24	45	28	29	18	21	25	41	27	22.000	24.000	45.000	28.000	29.000	18.000	21.000	25.000	41.000	27.000
2638	1	sp|P60033|CD81_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CD81_HUMAN", "CD81_HUMAN")		25.0	236	25809	CD81 antigen OS=Homo sapiens GN=CD81 PE=1 SV=1	91	91	1.000	5	3	17	10	12	2	10	7	14	11	5	3	17	10	12	2	10	7	14	11	5.000	3.000	17.000	10.000	12.000	2.000	10.000	7.000	14.000	11.000
2639	1	sp|P60174|TPIS_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TPIS_HUMAN", "TPIS_HUMAN")		82.5	286	30791	Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3	3958	3958	1.000	335	546	380	326	410	386	449	348	376	402	335	546	380	326	410	386	449	348	376	402	335.000	546.000	380.000	326.000	410.000	386.000	449.000	348.000	376.000	402.000
